               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11094,            0.027807,                   0,           0.0013456,             0.38596,           0.0016671,           0.0003808,            0.090282,            0.017226,                   0,               0.082,               0.002,               0.002
                   1,            0.091525,            0.023047,                   0,           0.0026225,             0.71053,            0.011697,           0.0036377,             0.07884,             0.01356,                   0,            0.063019,           0.0040188,           0.0040188
                   2,            0.076927,            0.019728,                   0,             0.56809,             0.16159,             0.27518,            0.060825,            0.076731,            0.011052,                   0,            0.043954,           0.0059545,           0.0059545
                   3,            0.070504,            0.020382,                   0,             0.33774,              0.2193,             0.27209,            0.074394,            0.064738,            0.011108,                   0,            0.024807,            0.007807,            0.007807
                   4,            0.063757,             0.01956,                   0,             0.57145,             0.22807,             0.27647,             0.05548,            0.077663,           0.0085145,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.061711,            0.019583,                   0,             0.60595,             0.41228,             0.50865,             0.15104,            0.056403,                0.01,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.055234,            0.017442,                   0,             0.52316,              0.5614,             0.51955,             0.19906,            0.052511,           0.0098724,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.050672,            0.016805,                   0,              0.6002,             0.67544,             0.65049,             0.26609,            0.049059,           0.0088136,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.049212,            0.015309,                   0,             0.75949,             0.66481,             0.73888,             0.28521,            0.046169,           0.0080092,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.047114,            0.014807,                   0,             0.73055,             0.69298,             0.75198,             0.35622,            0.043228,           0.0075505,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.046768,             0.01279,                   0,             0.78627,             0.73684,             0.80377,              0.3683,            0.041117,           0.0074334,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.043158,            0.012928,                   0,             0.82283,             0.74561,             0.79426,             0.37198,            0.044483,           0.0067527,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.042633,            0.011278,                   0,             0.89721,             0.78947,             0.89008,             0.42872,            0.038545,           0.0063785,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040452,            0.011446,                   0,             0.81757,             0.82557,             0.85384,             0.34154,            0.041229,           0.0061022,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038942,            0.010279,                   0,             0.88108,             0.81579,             0.87343,             0.41799,            0.043206,           0.0057913,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.038423,           0.0099432,                   0,             0.86458,              0.8401,             0.87743,             0.41939,            0.039313,           0.0057841,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.039688,           0.0099318,                   0,             0.82996,             0.85631,             0.85827,             0.39851,            0.041598,           0.0055404,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.03865,           0.0096501,                   0,             0.89837,             0.88596,             0.90337,               0.442,            0.037928,           0.0056032,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035716,           0.0092434,                   0,             0.89717,             0.85088,             0.87378,             0.42259,            0.036851,           0.0056372,                   0,            0.006634,            0.006634,            0.006634
